,code,name,current,price,diff,per_diff,time
69,RDSB,RDS 'B',GBX,2307.50,+15.50,+0.68,2018-03-06 18:46:00
70,RB.,RECKITT BEN. GP,GBX,5661.00,-4.00,-0.07,2018-03-06 18:46:00
71,REL,RELX,GBX,1482.50,+10.00,+0.68,2018-03-06 18:46:00
72,RTO,RENTOKIL INITL.,GBX,258.70,-2.30,-0.88,2018-03-06 18:46:00
73,RIO,RIO TINTO,GBX,3748.00,+53.00,+1.43,2018-03-06 18:46:00
74,RR.,ROLLS-ROYCE HLG,GBX,829.00,+9.60,+1.17,2018-03-06 18:46:00
75,RBS,ROYAL BANK SCOT,GBX,260.10,-1.50,-0.57,2018-03-06 18:46:00
76,RSA,RSA INS.,GBX,619.80,+4.80,+0.78,2018-03-06 18:46:00
77,SGE,SAGE GRP.,GBX,680.00,+6.60,+0.98,2018-03-06 18:46:00
78,SBRY,SAINSBURY(J),GBX,244.70,-8.20,-3.24,2018-03-06 18:46:00
79,SDR,SCHRODERS,GBX,3370.00,+2.00,+0.06,2018-03-06 18:46:00
80,SMT,SCOTTISH MORT,GBX,464.00,+7.00,+1.53,2018-03-06 18:46:00
81,SGRO,SEGRO,GBX,585.80,+3.00,+0.51,2018-03-06 18:46:00
82,SVT,SEVERN TRENT,GBX,1734.50,-1.00,-0.06,2018-03-06 18:46:00
83,SHP,SHIRE,GBX,3234.50,+6.50,+0.20,2018-03-06 18:46:00
84,SKY,SKY PLC,GBX,1342.50,-12.50,-0.92,2018-03-06 18:46:00
85,SN.,SMITH&NEPHEW,GBX,1291.00,+2.00,+0.16,2018-03-06 18:46:00
86,SMDS,SMITH(DS),GBX,505.80,+27.00,+5.64,2018-03-06 18:46:00
87,SMIN,SMITHS GROUP,GBX,1579.50,+11.50,+0.73,2018-03-06 18:46:00
88,SKG,SMURFIT KAP.,GBX,3042.00,+500.00,+19.67,2018-03-06 18:46:00
89,SSE,SSE,GBX,1215.00,-0.50,-0.04,2018-03-06 18:46:00
90,STJ,ST.JAMES'S PLAC,GBX,1129.00,+7.50,+0.67,2018-03-06 18:46:00
91,STAN,STAND.CHART.,GBX,784.00,+8.90,+1.15,2018-03-06 18:46:00
92,SLA,STD LIFE ABER,GBX,364.10,+1.80,+0.50,2018-03-06 18:46:00
93,TW.,TAYLOR WIMPEY,GBX,187.85,+0.35,+0.19,2018-03-06 18:46:00
94,TSCO,TESCO,GBX,211.00,+7.00,+3.43,2018-03-06 18:46:00
95,TUI,TUI AG,GBX,1520.00,+13.50,+0.90,2018-03-06 18:46:00
96,ULVR,UNILEVER,GBX,3739.50,-20.00,-0.53,2018-03-06 18:46:00
97,UU.,UTD. UTILITIES,GBX,682.00,+7.60,+1.13,2018-03-06 18:46:00
98,VOD,VODAFONE GRP.,GBX,203.40,+1.10,+0.54,2018-03-06 18:46:00
99,WTB,WHITBREAD,GBX,3842.00,+45.00,+1.19,2018-03-06 18:46:00
100,WPP,WPP,GBX,1259.50,-0.50,-0.04,2018-03-06 18:46:00
